mcs, mod_ord, R1024, SE
0, 2, 120.00, 0.2344
1, 2, 193.00, 0.3770
2, 2, 308.00, 0.6016
3, 2, 449.00, 0.8770
4, 2, 602.00, 1.1758
5, 4, 378.00, 1.4766
6, 4, 434.00, 1.6943
7, 4, 490.00, 1.9141
8, 4, 553.00, 2.1602
9, 4, 616.00, 2.4063
10, 4, 658.00, 2.5703
11, 6, 466.00, 2.7305
12, 6, 517.00, 3.0293
13, 6, 567.00, 3.3223
14, 6, 616.00, 3.6094
15, 6, 666.00, 3.9023
16, 6, 719.00, 4.2129
17, 6, 772.00, 4.5234
18, 6, 822.00, 4.8164
19, 6, 873.00, 5.1152
20, 8, 682.50, 5.3320
21, 8, 711.00, 5.5547
22, 8, 754.00, 5.8906
23, 8, 797.00, 6.2266
24, 8, 841.00, 6.5703
25, 8, 885.00, 6.9141
26, 8, 916.50, 7.1602
27, 8, 948.00, 7.4063